Node,Time,delta,dropFactor,pktSent,pktReceived,pktDropped,pktGen,repBrdSent,repBrdReceived
10.1.1.1,50,0.956468,0.58864,0,0,0,0,1,0
10.1.1.2,50,0.858676,0.43956,0,0,0,0,1,0
10.1.1.3,50,0.398437,0.814767,0,0,0,0,1,0
10.1.1.4,50,0.910972,0,0,0,0,0,1,0
10.1.1.5,50,0.950252,0.920128,0,0,0,0,1,0
10.1.1.6,50,0.881062,0.641081,0,0,0,0,1,0
10.1.1.7,50,0.619596,0.281059,0,0,0,0,1,0
10.1.1.8,50,0.307458,0,0,0,0,0,1,0
10.1.1.9,50,0.187533,0.276235,0,0,0,0,1,0
10.1.1.10,50,0.416501,0.169607,0,0,0,0,1,0
10.1.1.1,60,0.956468,0.58864,86,95,10,76,2,0
10.1.1.2,60,0.858676,0.43956,90,19,0,90,2,0
10.1.1.3,60,0.398437,0.814767,80,73,0,80,2,0
10.1.1.4,60,0.910972,0,110,164,64,80,2,0
10.1.1.5,60,0.950252,0.920128,88,92,17,87,2,0
10.1.1.6,60,0.881062,0.641081,87,95,13,83,2,0
10.1.1.7,60,0.619596,0.281059,78,81,4,73,2,0
10.1.1.8,60,0.307458,0,79,81,3,73,2,0
10.1.1.9,60,0.187533,0.276235,54,34,0,54,2,0
10.1.1.10,60,0.416501,0.169607,96,58,0,96,2,0
10.1.1.1,70,0.956468,0.58864,235,261,20,225,3,0
10.1.1.2,70,0.858676,0.43956,264,192,10,254,3,0
10.1.1.3,70,0.398437,0.814767,246,228,16,242,3,0
10.1.1.4,70,0.910972,0,251,299,64,221,3,0
10.1.1.5,70,0.950252,0.920128,269,268,26,267,3,0
10.1.1.6,70,0.881062,0.641081,284,365,90,250,3,0
10.1.1.7,70,0.619596,0.281059,245,247,12,236,3,0
10.1.1.8,70,0.307458,0,248,232,3,242,3,0
10.1.1.9,70,0.187533,0.276235,182,94,0,182,3,0
10.1.1.10,70,0.416501,0.169607,257,190,0,257,3,0
10.1.1.1,80,0.956468,0.58864,392,416,22,379,4,0
10.1.1.2,80,0.858676,0.43956,443,363,22,425,4,0
10.1.1.3,80,0.398437,0.814767,417,405,43,410,4,0
10.1.1.4,80,0.910972,0,370,414,64,340,4,0
10.1.1.5,80,0.950252,0.920128,453,471,63,447,4,0
10.1.1.6,80,0.881062,0.641081,446,564,119,396,4,0
10.1.1.7,80,0.619596,0.281059,403,394,16,390,4,0
10.1.1.8,80,0.307458,0,408,381,3,402,4,0
10.1.1.9,80,0.187533,0.276235,305,159,0,305,4,0
10.1.1.10,80,0.416501,0.169607,419,344,3,417,4,0
10.1.1.1,90,0.956468,0.58864,484,496,22,471,5,0
10.1.1.2,90,0.858676,0.43956,540,464,37,517,5,0
10.1.1.3,90,0.398437,0.814767,504,516,78,492,5,0
10.1.1.4,90,0.910972,0,455,471,64,425,5,0
10.1.1.5,90,0.950252,0.920128,531,613,126,521,5,0
10.1.1.6,90,0.881062,0.641081,530,639,119,480,5,0
10.1.1.7,90,0.619596,0.281059,460,457,22,443,5,0
10.1.1.8,90,0.307458,0,498,463,3,492,5,0
10.1.1.9,90,0.187533,0.276235,398,193,0,398,5,0
10.1.1.10,90,0.416501,0.169607,513,434,9,507,5,0
10.1.1.1,100,0.956468,0.58864,633,638,22,620,6,0
10.1.1.2,100,0.858676,0.43956,704,649,55,669,6,0
10.1.1.3,100,0.398437,0.814767,681,714,116,659,6,0
10.1.1.4,100,0.910972,0,623,606,64,593,6,0
10.1.1.5,100,0.950252,0.920128,676,789,166,661,6,0
10.1.1.6,100,0.881062,0.641081,686,797,119,636,6,0
10.1.1.7,100,0.619596,0.281059,559,538,22,542,6,0
10.1.1.8,100,0.307458,0,677,638,20,653,6,0
10.1.1.9,100,0.187533,0.276235,533,245,0,533,6,0
10.1.1.10,100,0.416501,0.169607,658,595,15,643,6,0
10.1.1.1,110,0.956468,0.58864,782,800,24,766,7,0
10.1.1.2,110,0.858676,0.43956,851,799,65,811,7,0
10.1.1.3,110,0.398437,0.814767,842,910,143,811,7,0
10.1.1.4,110,0.910972,0,798,759,74,768,7,0
10.1.1.5,110,0.950252,0.920128,849,963,189,831,7,0
10.1.1.6,110,0.881062,0.641081,870,979,130,814,7,0
10.1.1.7,110,0.619596,0.281059,633,587,22,616,7,0
10.1.1.8,110,0.307458,0,848,833,68,822,7,0
10.1.1.9,110,0.187533,0.276235,710,359,17,708,7,0
10.1.1.10,110,0.416501,0.169607,818,755,19,797,7,0
10.1.1.1,120,0.956468,0.58864,879,894,32,861,8,0
10.1.1.2,120,0.858676,0.43956,940,844,65,900,8,0
10.1.1.3,120,0.398437,0.814767,935,1014,160,901,8,0
10.1.1.4,120,0.910972,0,889,860,94,859,8,0
10.1.1.5,120,0.950252,0.920128,939,1043,189,921,8,0
10.1.1.6,120,0.881062,0.641081,972,1109,158,904,8,0
10.1.1.7,120,0.619596,0.281059,725,607,22,708,8,0
10.1.1.8,120,0.307458,0,938,979,130,912,8,0
10.1.1.9,120,0.187533,0.276235,813,464,52,806,8,0
10.1.1.10,120,0.416501,0.169607,912,845,25,887,8,0
10.1.1.1,130,0.956468,0.58864,1015,1062,42,997,9,0
10.1.1.2,130,0.858676,0.43956,1087,979,65,1047,9,0
10.1.1.3,130,0.398437,0.814767,1101,1179,169,1065,9,0
10.1.1.4,130,0.910972,0,1041,1034,114,1011,9,0
10.1.1.5,130,0.950252,0.920128,1092,1196,189,1074,9,0
10.1.1.6,130,0.881062,0.641081,1092,1267,158,1024,9,0
10.1.1.7,130,0.619596,0.281059,880,704,22,863,9,0
10.1.1.8,130,0.307458,0,1090,1145,150,1064,9,0
10.1.1.9,130,0.187533,0.276235,957,589,53,950,9,0
10.1.1.10,130,0.416501,0.169607,1066,981,25,1041,9,0
10.1.1.1,140,0.956468,0.58864,1191,1238,45,1171,10,0
10.1.1.2,140,0.858676,0.43956,1256,1142,65,1216,10,0
10.1.1.3,140,0.398437,0.814767,1264,1336,174,1228,10,0
10.1.1.4,140,0.910972,0,1199,1194,124,1169,10,0
10.1.1.5,140,0.950252,0.920128,1256,1374,194,1238,10,0
10.1.1.6,140,0.881062,0.641081,1244,1441,158,1176,10,0
10.1.1.7,140,0.619596,0.281059,1076,853,22,1059,10,0
10.1.1.8,140,0.307458,0,1251,1317,164,1225,10,0
10.1.1.9,140,0.187533,0.276235,1114,752,53,1107,10,0
10.1.1.10,140,0.416501,0.169607,1234,1151,25,1209,10,0
