Current Node,Time,Neighbor Node ID,Neighbor Node Rep
10.1.1.1,50,10.1.1.1,10
10.1.1.1,50,10.1.1.2,8
10.1.1.1,50,10.1.1.3,8
10.1.1.1,50,10.1.1.4,8
10.1.1.1,50,10.1.1.5,10
10.1.1.1,50,10.1.1.6,8
10.1.1.1,50,10.1.1.7,8
10.1.1.1,50,10.1.1.8,8
10.1.1.1,50,10.1.1.9,8
10.1.1.1,50,10.1.1.10,8
10.1.1.2,50,10.1.1.1,8
10.1.1.2,50,10.1.1.2,10
10.1.1.2,50,10.1.1.3,8
10.1.1.2,50,10.1.1.4,8
10.1.1.2,50,10.1.1.5,10
10.1.1.2,50,10.1.1.6,10
10.1.1.2,50,10.1.1.7,8
10.1.1.2,50,10.1.1.8,8
10.1.1.2,50,10.1.1.9,10
10.1.1.2,50,10.1.1.10,8
10.1.1.3,50,10.1.1.1,8
10.1.1.3,50,10.1.1.2,8
10.1.1.3,50,10.1.1.3,10
10.1.1.3,50,10.1.1.4,8
10.1.1.3,50,10.1.1.5,8
10.1.1.3,50,10.1.1.6,8
10.1.1.3,50,10.1.1.7,8
10.1.1.3,50,10.1.1.8,8
10.1.1.3,50,10.1.1.9,8
10.1.1.3,50,10.1.1.10,8
10.1.1.4,50,10.1.1.1,8
10.1.1.4,50,10.1.1.2,8
10.1.1.4,50,10.1.1.3,8
10.1.1.4,50,10.1.1.4,10
10.1.1.4,50,10.1.1.5,8
10.1.1.4,50,10.1.1.6,8
10.1.1.4,50,10.1.1.7,8
10.1.1.4,50,10.1.1.8,8
10.1.1.4,50,10.1.1.9,8
10.1.1.4,50,10.1.1.10,8
10.1.1.5,50,10.1.1.1,10
10.1.1.5,50,10.1.1.2,10
10.1.1.5,50,10.1.1.3,8
10.1.1.5,50,10.1.1.4,8
10.1.1.5,50,10.1.1.5,10
10.1.1.5,50,10.1.1.6,8
10.1.1.5,50,10.1.1.7,8
10.1.1.5,50,10.1.1.8,8
10.1.1.5,50,10.1.1.9,8
10.1.1.5,50,10.1.1.10,10
10.1.1.6,50,10.1.1.1,8
10.1.1.6,50,10.1.1.2,10
10.1.1.6,50,10.1.1.3,8
10.1.1.6,50,10.1.1.4,8
10.1.1.6,50,10.1.1.5,8
10.1.1.6,50,10.1.1.6,10
10.1.1.6,50,10.1.1.7,8
10.1.1.6,50,10.1.1.8,8
10.1.1.6,50,10.1.1.9,8
10.1.1.6,50,10.1.1.10,8
10.1.1.7,50,10.1.1.1,8
10.1.1.7,50,10.1.1.2,8
10.1.1.7,50,10.1.1.3,8
10.1.1.7,50,10.1.1.4,8
10.1.1.7,50,10.1.1.5,8
10.1.1.7,50,10.1.1.6,8
10.1.1.7,50,10.1.1.7,10
10.1.1.7,50,10.1.1.8,8
10.1.1.7,50,10.1.1.9,8
10.1.1.7,50,10.1.1.10,8
10.1.1.8,50,10.1.1.1,8
