% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	1	3	7	1	0	85
0.027	1	1	3	8	1	0	85
0.028	1	1	3	9	1	0	85
0.029	1	1	3	10	1	0	85
0.03	1	1	4	1	1	0	85
0.031	1	1	4	2	1	0	85
0.032	1	1	4	3	1	0	85
0.033	1	1	4	4	1	0	85
0.034	1	1	4	5	1	0	85
0.035	1	1	4	6	1	0	85
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.038	1	1	4	9	1	0	85
0.039	1	1	4	10	1	0	85
1.039	1	1	104	10	1	0	85
1.04	1	1	105	1	1	0	85
1.041	1	1	105	2	1	0	85
1.042	1	1	105	3	1	0	85
1.043	1	1	105	4	1	0	85
1.044	1	1	105	5	1	0	85
1.045	1	1	105	6	1	0	85
1.046	1	1	105	7	1	0	85
1.047	1	1	105	8	1	0	85
1.048	1	1	105	9	1	0	85
1.049	1	1	105	10	1	0	85
1.05	1	1	106	1	1	0	85
1.051	1	1	106	2	1	0	85
1.052	1	1	106	3	1	0	85
2.052	1	1	206	3	1	0	85
2.053	1	1	206	4	1	0	85
2.054	1	1	206	5	1	0	85
2.055	1	1	206	6	1	0	85
2.056	1	1	206	7	1	0	85
2.057	1	1	206	8	1	0	85
2.058	1	1	206	9	1	0	85
2.059	1	1	206	10	1	0	85
2.06	1	1	207	1	1	0	85
2.061	1	1	207	2	1	0	85
2.062	1	1	207	3	1	0	85
2.063	1	1	207	4	1	0	85
2.064	1	1	207	5	1	0	85
2.065	1	1	207	6	1	0	85
3.065	1	1	307	6	1	0	85
3.066	1	1	307	7	1	0	85
3.067	1	1	307	8	1	0	85
3.068	1	1	307	9	1	0	85
3.069	1	1	307	10	1	0	85
3.07	1	1	308	1	1	0	85
3.071	1	1	308	2	1	0	85
3.072	1	1	308	3	1	0	85
3.073	1	1	308	4	1	0	85
3.074	1	1	308	5	1	0	85
3.075	1	1	308	6	1	0	85
3.076	1	1	308	7	1	0	85
3.077	1	1	308	8	1	0	85
3.078	1	1	308	9	1	0	85
